,stem,freq,pick
296,p-ell,1,0
222,omnic,1,0
69,shipb,1,0
151,repla,1,0
292,branc,1,0
291,paths,1,0
290,k-sho,1,0
75,marin,1,0
286,tesse,1,0
285,hexag,1,0
284,aircr,1,0
227,brand,1,0
276,littl,1,0
